6A	7BP	MA004	MA001	MA002	PV_10_dnaapler_reoriented	11	PV_11_dnaapler_reoriented	7A	PV_15_dnaapler_reoriented	12	PV_8_dnaapler_reoriented
100.0	99.957115	96.931702	96.93132	96.940407	97.219101	97.490463	97.490463	96.900726	96.964996	97.405533	96.833939
99.957115	100.0	96.961395	96.967117	96.967812	97.228111	97.491707	97.491707	96.915161	96.976959	97.408539	96.830338
96.931702	96.961395	100.0	99.98671	99.992355	97.8265	97.671768	97.671768	97.755157	97.873459	97.989265	97.74704
96.93132	96.967117	99.98671	100.0	99.992935	97.841187	97.687241	97.687241	97.917778	97.891556	98.005974	97.606201
96.940407	96.967812	99.992355	99.992935	100.0	97.835983	97.679665	97.679665	97.913765	97.886215	97.999359	97.602615
97.219101	97.228111	97.8265	97.841187	97.835983	100.0	99.208466	99.208466	98.300667	98.144356	98.070099	97.787811
97.490463	97.491707	97.671768	97.687241	97.679665	99.208466	100.0	100.0	97.906204	97.758987	97.883301	97.523239
97.490463	97.491707	97.671768	97.687241	97.679665	99.208466	100.0	100.0	97.906204	97.758987	97.883301	97.523239
96.900726	96.915161	97.755157	97.917778	97.913765	98.300667	97.906204	97.906204	100.0	98.348984	98.235046	97.846786
96.964996	96.976959	97.873459	97.891556	97.886215	98.144356	97.758987	97.758987	98.348984	100.0	98.609451	98.305489
97.405533	97.408539	97.989265	98.005974	97.999359	98.070099	97.883301	97.883301	98.235046	98.609451	100.0	99.130676
96.833939	96.830338	97.74704	97.606201	97.602615	97.787811	97.523239	97.523239	97.846786	98.305489	99.130676	100.0
