MA001	MA002	6A	12	PV_15_dnaapler_reoriented	11	PV_8_dnaapler_reoriented	7A	PV_10_dnaapler_reoriented	PV_11_dnaapler_reoriented	MA004	7BP
100.0	99.992935	96.93132	98.005974	97.891556	97.687241	97.606201	97.917778	97.841187	97.687241	99.98671	96.967117
99.992935	100.0	96.940407	97.999359	97.886215	97.679665	97.602615	97.913765	97.835983	97.679665	99.992355	96.967812
96.93132	96.940407	100.0	97.405533	96.964996	97.490463	96.833939	96.900726	97.219101	97.490463	96.931702	99.957115
98.005974	97.999359	97.405533	100.0	98.609451	97.883301	99.130676	98.235046	98.070099	97.883301	97.989265	97.408539
97.891556	97.886215	96.964996	98.609451	100.0	97.758987	98.305489	98.348984	98.144356	97.758987	97.873459	96.976959
97.687241	97.679665	97.490463	97.883301	97.758987	100.0	97.523239	97.906204	99.208466	100.0	97.671768	97.491707
97.606201	97.602615	96.833939	99.130676	98.305489	97.523239	100.0	97.846786	97.787811	97.523239	97.74704	96.830338
97.917778	97.913765	96.900726	98.235046	98.348984	97.906204	97.846786	100.0	98.300667	97.906204	97.755157	96.915161
97.841187	97.835983	97.219101	98.070099	98.144356	99.208466	97.787811	98.300667	100.0	99.208466	97.8265	97.228111
97.687241	97.679665	97.490463	97.883301	97.758987	100.0	97.523239	97.906204	99.208466	100.0	97.671768	97.491707
99.98671	99.992355	96.931702	97.989265	97.873459	97.671768	97.74704	97.755157	97.8265	97.671768	100.0	96.961395
96.967117	96.967812	99.957115	97.408539	96.976959	97.491707	96.830338	96.915161	97.228111	97.491707	96.961395	100.0
